AC,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","24.862,0","7.127,0","35.666,0","8.990,0","9.721,0","33.388,0","6.140,0","91,0","0,0","3.779,0","3.073,0","18.606,0","250,0","4.342,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",596088080.41,0.61828853253
AL,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","8.415,0","0,0","40.559,0","1.683,0","3.403,0","87.676,0","5.109,0","929,0","3.630,0","1.524,0","617,0","31.949,0","0,0","1.654,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",608787763.84,0.269820979034
AM,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","65.330,0","2.378,0","117.084,0","6.339,0","42.039,0","145.736,0","29.184,0","7.328,0","155,0","2.811,0","849,0","37.298,0","0,0","4.756,0","0,0","0,0","0,0","0,0","266,0","0,0","0,0","0,0","0,0","0,0","0,0",1521490716.99,0.4548419542
AP,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","15.113,0","6.933,0","37.190,0","7.571,0","396,0","29.247,0","4.456,0","166,0","845,0","2.049,0","1.439,0","16.537,0","0,0","5.378,0","0,0","0,0","0,0","0,0",25.5,"0,0","232,0","0,0","0,0","0,0","0,0",526356698.76,0.627453189443
BA,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","3.584,0","573,0","145.495,0","4.601,0","41.558,0","433.289,0","22.444,0","7.450,0","39.587,0","2.213,0","1.308,0","127.395,0","12.586,0","13.351,0","0,0","0,0","0,0","0,0","610,0","0,0","294,0","1.690,0","0,0","45,0","0,0",2864632925.57,0.295445187629
CE,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","1.001,0","0,0","31.793,0","77,0","479,0","274.890,0","11.012,0","4.143,0","48.371,0","1.036,0","1.948,0","19.859,0","0,0","5.075,0","0,0","0,0","0,0","0,0","48,0","0,0","0,0","66,0","0,0","0,0","0,0",1404700067.3,0.254055157531
DF,GOVERNO DO ESTADO,"334,0","319,0","1.097,0","36.762,0","125.488,0","7.972,0","113.954,0","5.557,0","20.691,0","76.594,0","1.858,0","646,0","610,0","11.838,0","6.117,0","45.622,0","38,0","0,0","9.900,0","261,0","5.126,0","105,0","360,0","0,0","0,0","0,0","0,0","0,0","0,0",1957390904.03,"1,000000000000"
ES,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","34.236,0","4.286,0","63.193,0","2.740,0","2.241,0","95.199,0","2.390,0","1.172,0","6.721,0","3.018,0","2.645,0","36.631,0","0,0","117,0","0,0","0,0","0,0","0,0",7.5,285.5,"462,0","562,0","0,0","0,0","0,0",935284785.97,0.344251678849
GO,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","12.302,0","865,0","200.228,0","4.420,0","26.719,0","195.994,0","3.244,0","4.984,0","237,0","5.559,0","3.299,0","32.433,0","67,0","1.254,0","0,0","0,0","0,0","0,0","414,0","0,0","72,0","0,0","0,0","0,0","0,0",1946966796.81,0.443558046128
MA,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","4.342,0","236,0","23.968,0","2.361,0","2.069,0","239.522,0","43.913,0","3.061,0","2.198,0","905,0","594,0","24.457,0","0,0","15.688,0","0,0","0,0","0,0","0,0",24.5,"121,0","321,0","756,0","0,0","13,0","29,0",1269755036.02,0.218624618725
MG,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","293.042,0","8.953,0","668.047,0","18.671,0","127.321,0","682.134,0","15.510,0","37,0","31.843,0","30.064,0","15.356,0","154.412,0","0,0","4.586,0","0,0","0,0","0,0","0,0",10831.5,9.5,"53,0","1.057,0","0,0","0,0","0,0","6.955.772.697,00",0.538751247408
MS,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","39.892,0","3.195,0","78.233,0","4.102,0","5.657,0","72.714,0","4.970,0","2.050,0","3.228,0","5.137,0","2.778,0","27.978,0","0,0","1.164,0","0,0","0,0","0,0","0,0",2693.5,"0,0","81,0","94,0","0,0","0,0","0,0",1004804185.69,0.430694418621
MT,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","58.171,0","5.616,0","105.557,0","8.470,0","9.815,0","110.346,0","14.779,0","2.537,0","4.153,0","5.846,0","4.229,0","53.944,0","290,0","11.957,0","0,0","0,0","0,0","0,0","1.474,0","0,0","0,0","0,0","0,0","0,0","0,0",1485797815.84,0.537646497144
PA,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","55.368,0","2.400,0","120.841,0","17.116,0","4.532,0","294.526,0","24.810,0","1.225,0","4.528,0","4.410,0","4.128,0","75.318,0","1.505,0","472,0","0,0","0,0","0,0","0,0","52,0","0,0","0,0","0,0","0,0","0,0","0,0",2007657268.77,0.30132661571
PB,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","30.862,0","3.244,0","76.508,0","5.591,0","4.023,0","97.750,0","4.200,0","5.698,0","5.751,0","2.494,0","1.609,0","62.412,0","1.285,0","2.778,0","0,0","0,0","0,0","0,0",70.5,"0,0","0,0","0,0","0,0","0,0","0,0",957486157.32,0.381486673292
PE,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","2.410,0","856,0","145.975,0","8.926,0","7.300,0","165.207,0","14.157,0","116.915,0","18.370,0","4.346,0","1.399,0","86.087,0","0,0","10.387,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1935411627.11,0.35537694955
PI,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","2.033,0","15,0","24.001,0","251,0","18.768,0","84.839,0","5.648,0","16.199,0","14.395,0","841,0","751,0","95.110,0","4.669,0","232,0","0,0","0,0","0,0","0,0","201,0",15.5,"0,0","0,0","0,0","0,0","0,0",827702405.55,0.330553351401
PR,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","583,0","547,0","484.694,0","27.584,0","20.148,0","329.462,0","16.641,0","798,0","42.202,0","16.319,0","11.532,0","105.301,0","288,0","3.806,0","0,0","0,0","0,0","0,0",17630.5,"0,0","0,0","0,0","0,0","0,0","0,0",4079500281.51,0.509246673399
RJ,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","2.179,0","0,0","176.843,0","8.344,0","5.563,0","387.737,0","13.578,0","8.840,0","32.657,0","1.681,0","297,0","77.918,0","143,0","136,0","0,0","0,0","0,0","0,0","225,0","0,0","0,0","0,0","0,0","0,0","0,0",2653875768.53,0.31054139361
RN,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","26.801,0","1.954,0","53.947,0","2.190,0","21.396,0","95.322,0","2.006,0","406,0","1.000,0","3.099,0","1.838,0","31.956,0","58,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",834234630.47,0.383475369797
RO,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","29.852,0","1.995,0","67.749,0","5.474,0","10.114,0","40.788,0","3.239,0","8.846,0","115,0","3.701,0","2.192,0","26.571,0","0,0","3.279,0","0,0","0,0","0,0","0,0","752,0","8,0","95,0","522,0","0,0","0,0","0,0",807107205.31,0.531745369585
RR,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","377,0","159,0","24.297,0","3.113,0","2.025,0","14.934,0","3.865,0","0,0","344,0","717,0","558,0","7.546,0","0,0","12.791,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",337665179.12,0.556051715456
RS,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","203.880,0","15.107,0","243.156,0","17.795,0","24.755,0","275.488,0","7.536,0","1.647,0","20.668,0","22.358,0","12.560,0","69.740,0","0,0","5.597,0","0,0","0,0","0,0","0,0",4833.5,"0,0","191,0","37,0","0,0","0,0","0,0",4123046025.18,0.483614199378
SC,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","98.292,0","7.077,0","161.971,0","10.855,0","9.707,0","169.053,0","4.899,0","9.161,0",######,"6.684,0","3.647,0","31.755,0","0,0","2.294,0","0,0","0,0","0,0","0,0","21,0","0,0","0,0","0,0","0,0","0,0","0,0",1983883387.84,0.417018323892
SE,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","25.994,0","1.190,0","43.132,0","1.572,0","2.008,0","59.656,0","3.436,0","1.828,0","84,0","1.979,0","1.101,0","16.548,0","11,0","575,0","0,0","0,0","0,0","0,0",128.5,"0,0","0,0","0,0","0,0","0,0","0,0",580952620.34,0.383378236762
SP,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","566.659,0","3.972,0","1.181.671,0","17.502,0","172.122,0","1.475.471,0","17.626,0","38.299,0","47.389,0","35.011,0","13.784,0","186.596,0","146,0","1.313,0","0,0","0,0","0,0","0,0","19.604,0","0,0","0,0","0,0","0,0","0,0","0,0",15522729909.06,0.488762778669
TO,GOVERNO DO ESTADO,"0,0","0,0","0,0","0,0","9.672,0","668,0","55.156,0","2.817,0","17.999,0","52.751,0","2.895,0","1.168,0","3.142,0","4.847,0","2.394,0","11.708,0","14,0","5.374,0","0,0","0,0","0,0","0,0","54,0","0,0","0,0","0,0","0,0","0,0","0,0",658518681.52,0.481430864743
